player,display_name,photo,flag,club_logo,club,theme_color
PEUDEPIÈCE Sylviane,PEUDEPIÈCE Sylviane,assets/players/peudepiece-sylviane.png,assets/flags/fr.png,assets/clubs/epernay.png,Épernay,#7C3AED
PHILIBERT France,PHILIBERT France,assets/players/philibert-france.png,assets/flags/fr.png,assets/clubs/saint-priest-en-jarez.png,Saint-Priest-en-Jarez,#1D4ED8
PHILIPPOT Marie-Annick,PHILIPPOT Marie-Annick,assets/players/philippot-marie-annick.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
PICARD Denis,PICARD Denis,assets/players/picard-denis.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
PICARD Joëlle,PICARD Joëlle,assets/players/picard-joelle.png,assets/flags/fr.png,assets/clubs/default.png,,#DB2777
PICHON Marianne,PICHON Marianne,assets/players/pichon-marianne.png,assets/flags/fr.png,assets/clubs/saint-flour.png,Saint-Flour,#1D4ED8
PILLOT Zeneida,PILLOT Zeneida,assets/players/pillot-zeneida.png,assets/flags/fr.png,assets/clubs/le-creusot.png,Le Creusot,#1D4ED8
PINEL Florian,PINEL Florian,assets/players/pinel-florian.png,assets/flags/fr.png,assets/clubs/toulouse.png,Toulouse,#EA580C
PIRES Marie,PIRES Marie,assets/players/pires-marie.png,assets/flags/fr.png,assets/clubs/domerat.png,Domérat,#1D4ED8
PIRONAUD Bruno,PIRONAUD Bruno,assets/players/pironaud-bruno.png,assets/flags/fr.png,assets/clubs/tarare.png,Tarare,#1D4ED8
PIROTAIS Marie-Louise,PIROTAIS Marie-Louise,assets/players/pirotais-marie-louise.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
PLAINO Geneviève,PLAINO Geneviève,assets/players/plaino-genevieve.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
PLETSCHETTE Véronique,PLETSCHETTE Véronique,assets/players/pletschette-veronique.png,assets/flags/fr.png,assets/clubs/caen.png,Caen,#111827
POILPRÉ Jean-Louis,POILPRÉ Jean-Louis,assets/players/poilpre-jean-louis.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
POINCIGNON Rose-Anne,POINCIGNON Rose-Anne,assets/players/poincignon-rose-anne.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
POIRIER Loïc,POIRIER Loïc,assets/players/poirier-loic.png,assets/flags/fr.png,assets/clubs/les-herbiers.png,Les Herbiers,#059669
POMMEREUL Édith,POMMEREUL Édith,assets/players/pommereul-edith.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
POMMÈS Étiennette,POMMÈS Étiennette,assets/players/pommes-etiennette.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
PORS Martine,PORS Martine,assets/players/pors-martine.png,assets/flags/fr.png,assets/clubs/brest.png,Brest,#2563EB
POUCHAIN Olivier,POUCHAIN Olivier,assets/players/pouchain-olivier.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
POUCHAIN-CASTELIN Ludivine,POUCHAIN-CASTELIN Ludivine,assets/players/pouchain-castelin-ludivine.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
POULAIN Nathalie,POULAIN Nathalie,assets/players/poulain-nathalie.png,assets/flags/fr.png,assets/clubs/calais.png,Calais,#DC2626
POUTOT Vincent,POUTOT Vincent,assets/players/poutot-vincent.png,assets/flags/fr.png,assets/clubs/default.png,,#7C3AED
POUVREAU Annie,POUVREAU Annie,assets/players/pouvreau-annie.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
PREL Sylvie,PREL Sylvie,assets/players/prel-sylvie.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
PRIMET Jean-Robert,PRIMET Jean-Robert,assets/players/primet-jean-robert.png,assets/flags/fr.png,assets/clubs/lyon.png,Lyon,#1D4ED8
PRÉVOST Marie-Christine,PRÉVOST Marie-Christine,assets/players/prevost-marie-christine.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
PUMA Cyrille,PUMA Cyrille,assets/players/puma-cyrille.png,assets/flags/fr.png,assets/clubs/laxou.png,Laxou,#7C3AED
PÊCHEUR Monique,PÊCHEUR Monique,assets/players/pecheur-monique.png,assets/flags/fr.png,assets/clubs/viroflay.png,Viroflay,#111827
QUEVEDO Florence,QUEVEDO Florence,assets/players/quevedo-florence.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RADIC Sylvie,RADIC Sylvie,assets/players/radic-sylvie.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RAIZMAN Alexandre,RAIZMAN Alexandre,assets/players/raizman-alexandre.png,assets/flags/fr.png,assets/clubs/paris.png,Paris,#111827
RAMOS Pedro,RAMOS Pedro,assets/players/ramos-pedro.png,assets/flags/fr.png,assets/clubs/saint-michel-sur-orge.png,Saint-Michel-sur-Orge,#111827
RAULIN Christine,RAULIN Christine,assets/players/raulin-christine.png,assets/flags/fr.png,assets/clubs/ambert.png,Ambert,#1D4ED8
REMAUD Richard,REMAUD Richard,assets/players/remaud-richard.png,assets/flags/fr.png,assets/clubs/saint-sulpice-de-royan.png,Saint-Sulpice-de-Royan,#059669
RENAUD Jean-Pierre,RENAUD Jean-Pierre,assets/players/renaud-jean-pierre.png,assets/flags/fr.png,assets/clubs/tarbes.png,Tarbes,#EA580C
RENAUD Valentin,RENAUD Valentin,assets/players/renaud-valentin.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RESSOT Christine,RESSOT Christine,assets/players/ressot-christine.png,assets/flags/fr.png,assets/clubs/durtol.png,Durtol,#1D4ED8
RIBOLI Maxime,RIBOLI Maxime,assets/players/riboli-maxime.png,assets/flags/fr.png,assets/clubs/niort.png,Niort,#0F766E
RIBOULET Olivier,RIBOULET Olivier,assets/players/riboulet-olivier.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
RICHARD Denis,RICHARD Denis,assets/players/richard-denis.png,assets/flags/fr.png,assets/clubs/default.png,,#7C3AED
